Lastname,Firstname,FamilyIncome,TypeofSeniorHighSchool,ProgramEnrolled,MunicipalityOfOrigin,Grade12GWA,Sex
Garcia,Elena,37203,Private,Economics,Tagudin,99.85,Female
Gonzales,Jose,64652,Public,Psychology,Batac,85.15,Female
Torres,Pedro,85706,Private,Biology,Vigan,90.02,Female
Mendoza,Luisa,85269,Public,Economics,Vigan,99.66,Female
Torres,Luisa,91082,Private,Finance,San Fernando,85.41,Male
Garcia,Carlos,88449,Public,Sociology,Batac,95.69,Female
Torres,Ana,53282,Private,Economics,Narvacan,86.8,Female
Mendoza,Rosa,44217,Public,Computer Science,Cervantes,94.12,Male
Reyes,Luisa,49336,Private,Finance,Santa,99.57,Female
Santos,Pedro,82685,Public,Biology,Candon,98.26,Female
Mendoza,Luisa,81974,Private,Accountancy,Baguio,86.32,Male
Cruz,Pedro,66502,Public,Biology,Tagudin,93.5,Male
Lopez,Luisa,37902,Private,Biology,Tagudin,95.18,Male
Garcia,Pedro,53313,Public,Finance,Laoag,90.9,Male
Torres,Rosa,75305,Private,Finance,Vigan,96.89,Male
Mendoza,Luisa,53447,Public,Accountancy,Vigan,95.37,Female
Lopez,Jose,61608,Private,Economics,Narvacan,97.09,Male
Flores,Ana,34109,Public,Computer Science,Tagudin,89.01,Female
Cruz,Ana,81818,Private,Psychology,Laoag,95.11,Female
Gonzales,Miguel,31073,Public,Psychology,San Fernando,94.8,Male
Torres,Elena,77066,Private,Engineering,Batac,85.43,Male
Lopez,Luisa,64295,Public,Economics,Tagudin,87.15,Female
Gonzales,Pedro,64662,Private,Sociology,Vigan,92.43,Male
Cruz,Rosa,85429,Public,History,Santa,85.37,Female
Lopez,Maria,54083,Private,Engineering,Baguio,87.14,Male
Mendoza,Jose,60648,Public,Biology,Candon,87.9,Male
Cruz,Elena,97279,Private,History,Batac,96.45,Female
Reyes,Juan,62766,Public,Finance,Candon,89.51,Female
Cruz,Rosa,81696,Private,Psychology,Santa,92.71,Female
Flores,Elena,75374,Public,Psychology,Tagudin,91.55,Female
Santos,Miguel,37667,Private,Accountancy,Santa,98.31,Female
Mendoza,Maria,40384,Public,Literature,Narvacan,89.88,Female
Flores,Pedro,78911,Private,Economics,Cervantes,90.63,Female
Garcia,Maria,80505,Public,Psychology,Baguio,97.53,Female
Lopez,Maria,30306,Private,Psychology,Candon,91.96,Male
Lopez,Jose,33293,Public,Literature,Laoag,92.67,Female
Lopez,Elena,66887,Private,Psychology,Candon,89.84,Male
Lopez,Rosa,66386,Public,Sociology,Vigan,99.68,Female
Santos,Elena,50907,Private,Finance,Baguio,98.68,Male
Santos,Juan,44988,Public,History,Narvacan,89.56,Female
Lopez,Carlos,47830,Private,Literature,San Fernando,96.01,Male
Torres,Carlos,53000,Public,Sociology,Narvacan,91.01,Female
Mendoza,Luisa,99381,Private,History,Narvacan,87.34,Male
Lopez,Pedro,33469,Public,Psychology,Baguio,96.14,Male
Reyes,Pedro,61002,Private,Literature,Tagudin,88.49,Male
Reyes,Carlos,65875,Public,Psychology,San Fernando,86.91,Female
Torres,Luisa,33439,Private,History,Tagudin,96.21,Female
Flores,Rosa,36945,Public,History,Tagudin,85.72,Male
Flores,Jose,92576,Private,Biology,Tagudin,99.28,Female
Garcia,Pedro,64906,Public,Economics,Narvacan,92.39,Male
Rivera,Rosa,42627,Private,Biology,Cervantes,87.89,Female
Cruz,Pedro,79909,Public,Psychology,Narvacan,97.92,Male
Mendoza,Luisa,59914,Private,Literature,San Fernando,96,Female
Gonzales,Luisa,42460,Public,Computer Science,Batac,97.34,Male
Rivera,Carlos,44930,Private,Computer Science,Cervantes,96.39,Male
Rivera,Luisa,98542,Public,Psychology,Batac,97.81,Female
Reyes,Luisa,98926,Private,Literature,Baguio,92.25,Male
Cruz,Elena,34115,Public,Computer Science,Cervantes,95.93,Female
Santos,Maria,91353,Private,Accountancy,Santa,85.46,Female
Torres,Maria,61443,Public,Finance,Candon,85.29,Female
Mendoza,Maria,98891,Private,Computer Science,Baguio,89.74,Female
Santos,Rosa,76839,Public,Sociology,Tagudin,85.15,Female
Garcia,Jose,59259,Private,Biology,Batac,95.97,Female
Reyes,Luisa,44380,Public,Engineering,Candon,90.93,Female
Garcia,Jose,52070,Private,History,Santa,88.11,Female
Reyes,Jose,82322,Public,Finance,Tagudin,94.2,Female
Mendoza,Juan,62927,Private,Economics,Santa,95.95,Female
Reyes,Juan,55462,Public,Biology,Candon,86.37,Male
Torres,Maria,54758,Private,History,Cervantes,99.11,Female
Rivera,Carlos,60846,Public,Psychology,Tagudin,86.36,Female
Lopez,Jose,88093,Private,History,Cervantes,88.11,Female
Cruz,Luisa,38456,Public,Accountancy,Vigan,92.21,Female
Torres,Carlos,48888,Private,Biology,San Fernando,99.69,Female
Rivera,Rosa,84887,Public,History,Santa,95.17,Male
Santos,Pedro,87949,Private,Engineering,Narvacan,86.87,Female
Rivera,Maria,88738,Public,Economics,Batac,91.9,Male
Flores,Juan,87193,Private,Engineering,Baguio,86.97,Male
Rivera,Jose,88678,Public,Literature,Vigan,89.77,Male
Gonzales,Ana,62256,Private,Psychology,Laoag,86.35,Male
Santos,Luisa,48242,Public,Sociology,Laoag,90.08,Male
Lopez,Juan,86765,Private,Biology,Candon,98.34,Female
Lopez,Miguel,46302,Public,Economics,Narvacan,85.12,Male
Lopez,Pedro,93357,Private,Finance,Batac,99.5,Male
Santos,Ana,55522,Public,Sociology,Batac,92.97,Female
Garcia,Miguel,32159,Private,Computer Science,Batac,86.93,Female
Garcia,Ana,85928,Public,Biology,Laoag,96.85,Male
Mendoza,Rosa,89151,Private,Economics,San Fernando,98.44,Female
Rivera,Maria,34652,Public,Economics,Santa,98.79,Female
Torres,Carlos,75388,Private,Sociology,Batac,85.66,Male
Reyes,Jose,48559,Public,Finance,San Fernando,94.2,Male
Flores,Juan,40446,Private,Sociology,Batac,85.44,Male
Flores,Juan,31932,Public,Sociology,Batac,91.96,Male
Reyes,Juan,70165,Private,Biology,Tagudin,96.97,Male
Lopez,Miguel,42985,Public,History,Narvacan,98.21,Female
Reyes,Jose,97353,Private,Biology,Laoag,91.51,Male
Cruz,Elena,74297,Public,Accountancy,Laoag,92.21,Male
Cruz,Carlos,77040,Private,Literature,Laoag,85.39,Male
Flores,Maria,75154,Public,History,Narvacan,95.42,Male
Garcia,Jose,60148,Private,Economics,Vigan,99.68,Male
Mendoza,Maria,63153,Public,Accountancy,Batac,98.84,Male
Rivera,Pedro,49815,Private,History,Tagudin,93.92,Female
Rivera,Carlos,66473,Public,Computer Science,Laoag,86.57,Female
Rivera,Carlos,91127,Private,History,Vigan,93.72,Female
Gonzales,Elena,52341,Public,Literature,Narvacan,93.16,Female
Santos,Elena,72556,Private,Psychology,Santa,89.54,Female
Gonzales,Pedro,81808,Public,Computer Science,San Fernando,93.6,Male
Cruz,Ana,61826,Private,Engineering,Laoag,87.42,Male
Garcia,Maria,91120,Public,Accountancy,Santa,92.54,Female
Garcia,Pedro,41674,Private,Sociology,Vigan,91.2,Male
Torres,Rosa,67471,Public,Economics,Santa,85.57,Female
Cruz,Jose,76335,Private,Psychology,San Fernando,96.14,Male
Flores,Luisa,78720,Public,Psychology,Laoag,87.54,Male
Rivera,Rosa,45559,Private,Finance,Santa,86.06,Female
Rivera,Miguel,49430,Public,Literature,Cervantes,94.75,Female
Flores,Carlos,33309,Private,Psychology,Candon,87.79,Male
Lopez,Carlos,37362,Public,Engineering,Batac,99.85,Female
Rivera,Maria,43010,Private,History,San Fernando,93.42,Male
Cruz,Ana,65661,Public,Sociology,Narvacan,91.91,Female
Torres,Maria,58589,Private,History,Candon,90.49,Male
Torres,Elena,72238,Public,Accountancy,Narvacan,88.1,Male
Rivera,Miguel,79839,Private,Psychology,Vigan,89.85,Male
Lopez,Maria,47808,Public,Accountancy,Tagudin,89.04,Female
Garcia,Carlos,97302,Private,Engineering,Narvacan,87.58,Female
Santos,Ana,33676,Public,Computer Science,Baguio,93.61,Female
Mendoza,Miguel,90101,Private,Engineering,Santa,95.95,Male
Rivera,Ana,33573,Public,Computer Science,San Fernando,92.3,Male
Lopez,Ana,41847,Private,Finance,Laoag,96.88,Male
Garcia,Pedro,48311,Public,Psychology,Laoag,97.78,Male
Torres,Elena,50669,Private,Literature,Batac,97.89,Female
Rivera,Pedro,55865,Public,Accountancy,Candon,95.73,Male
Garcia,Jose,83635,Private,Biology,Laoag,90.74,Male
Cruz,Jose,60302,Public,Psychology,Candon,95.41,Female
Lopez,Luisa,42209,Private,Computer Science,Candon,93.55,Male
Garcia,Carlos,95909,Public,Psychology,Vigan,88.09,Female
Gonzales,Pedro,93470,Private,Sociology,Candon,96.8,Male
Lopez,Luisa,67732,Public,Psychology,San Fernando,94.8,Male
Cruz,Ana,98474,Private,Literature,Santa,86.15,Male
Torres,Maria,39662,Public,Computer Science,Baguio,89.14,Female
Rivera,Jose,52324,Private,Finance,Narvacan,92.07,Male
Mendoza,Luisa,37931,Public,Finance,Baguio,93.36,Male
Lopez,Miguel,93242,Private,Accountancy,Batac,98.5,Female
Rivera,Elena,31516,Public,Psychology,Candon,88.49,Female
Santos,Jose,73926,Private,Sociology,Narvacan,90.83,Female
Reyes,Miguel,97399,Public,Finance,Vigan,96.97,Male
Flores,Miguel,88988,Private,Psychology,Laoag,98.55,Female
Gonzales,Luisa,72516,Public,History,Santa,97.6,Female
Santos,Juan,49278,Private,Engineering,Santa,88.92,Male
Mendoza,Carlos,62648,Public,Accountancy,Baguio,94.51,Female
Mendoza,Luisa,61089,Private,Accountancy,Batac,90.29,Female
Gonzales,Elena,66359,Public,Economics,Cervantes,93.11,Male
Cruz,Carlos,61357,Private,Economics,Narvacan,90.4,Male
Rivera,Rosa,51074,Public,History,Tagudin,93,Female
Cruz,Rosa,31279,Private,Finance,Cervantes,90.41,Female
Reyes,Pedro,54873,Public,Sociology,Baguio,98,Male
Rivera,Jose,67054,Private,Biology,Cervantes,96.35,Male
Santos,Miguel,65424,Public,Engineering,Vigan,95.8,Male
Reyes,Maria,98527,Private,Sociology,Narvacan,94.91,Male
Garcia,Elena,74841,Public,Biology,Santa,96.58,Female
Santos,Pedro,99334,Private,Biology,Batac,89.1,Male
Garcia,Pedro,49707,Public,History,Cervantes,90.85,Male
Torres,Maria,83649,Private,Psychology,Baguio,99.33,Female
Garcia,Juan,72233,Public,Psychology,Tagudin,98.71,Male
Mendoza,Miguel,40118,Private,Engineering,Laoag,97.55,Male
Reyes,Juan,83136,Public,Accountancy,Cervantes,86.75,Female
Reyes,Juan,53100,Private,History,Narvacan,89.33,Male
Rivera,Jose,37918,Public,Psychology,Candon,89.8,Female
Santos,Miguel,83520,Private,Engineering,Laoag,93.7,Female
Lopez,Juan,49012,Public,Psychology,Baguio,96.15,Male
Garcia,Miguel,74284,Private,Computer Science,Laoag,96.82,Male
Santos,Jose,98046,Public,History,Laoag,87,Male
Mendoza,Maria,75653,Private,History,Candon,95.36,Female
Torres,Luisa,33646,Public,Accountancy,Narvacan,87.91,Female
Garcia,Elena,71197,Private,Economics,Laoag,85.35,Male
Lopez,Jose,92206,Public,History,San Fernando,92.44,Male
Cruz,Rosa,98257,Private,Computer Science,Laoag,93.56,Male
Flores,Miguel,85737,Public,Economics,Narvacan,85.2,Male
Gonzales,Carlos,93277,Private,Accountancy,Santa,92.47,Female
Garcia,Rosa,70507,Public,Engineering,Batac,95.14,Female
Reyes,Jose,34909,Private,History,Laoag,87.54,Male
Gonzales,Rosa,74209,Public,History,San Fernando,93.2,Male
Cruz,Miguel,69017,Private,Sociology,Narvacan,96.42,Male
Rivera,Luisa,68071,Public,Sociology,Cervantes,99.62,Female
Santos,Elena,56206,Private,Computer Science,Candon,86.91,Male
Mendoza,Juan,64664,Public,Sociology,Vigan,98.06,Female
Reyes,Pedro,78373,Private,Engineering,Laoag,97.98,Male
Flores,Carlos,68590,Public,History,Batac,98.4,Female
Torres,Rosa,60999,Private,Economics,Tagudin,86.57,Male
Reyes,Maria,68246,Public,Accountancy,Santa,87.13,Female
Rivera,Carlos,65507,Private,Biology,Tagudin,90,Male
Torres,Ana,72587,Public,Economics,Laoag,97.04,Female
Torres,Rosa,81652,Private,Accountancy,Cervantes,88.3,Female
Reyes,Juan,51953,Public,Accountancy,Cervantes,85.78,Female
Reyes,Miguel,42108,Private,Engineering,Tagudin,98.21,Female
Reyes,Ana,81414,Public,Engineering,Cervantes,96.2,Female
Lopez,Carlos,31392,Private,Finance,Candon,86.2,Female
Garcia,Carlos,96443,Public,Economics,Santa,94.2,Female
Santos,Rosa,32248,Private,Engineering,San Fernando,98.26,Male
Lopez,Carlos,53388,Public,Finance,Baguio,99.52,Female
Cruz,Juan,32849,Private,Psychology,Cervantes,99.29,Male
Santos,Miguel,66530,Public,History,Santa,99.46,Female
Santos,Rosa,57218,Private,Engineering,Narvacan,98.26,Male
Torres,Miguel,97034,Public,History,Tagudin,86.63,Female
Santos,Maria,78369,Private,Accountancy,Narvacan,90.88,Female
Mendoza,Elena,43644,Public,Literature,Candon,92.48,Female
Gonzales,Ana,85916,Private,Biology,Baguio,85.27,Female
Rivera,Ana,68729,Public,Finance,Baguio,85.83,Female
Cruz,Carlos,60280,Private,Biology,Baguio,97.27,Male
Gonzales,Jose,56442,Public,Computer Science,Laoag,98.87,Female
Torres,Jose,95336,Private,Computer Science,Santa,88.99,Male
Lopez,Luisa,81615,Public,Engineering,San Fernando,96.33,Male
Reyes,Juan,39008,Private,Engineering,Batac,90.68,Male
Mendoza,Ana,98888,Public,History,Candon,92.83,Male
Garcia,Jose,75365,Private,Engineering,Santa,89.89,Female
Rivera,Ana,57018,Public,Engineering,Candon,89.44,Female
Reyes,Jose,95078,Private,Engineering,San Fernando,94.66,Male
Garcia,Carlos,52643,Public,Economics,Narvacan,93.93,Male
Torres,Ana,50659,Private,Accountancy,San Fernando,91.08,Female
Flores,Pedro,99334,Public,History,Laoag,98.29,Female
Garcia,Rosa,61299,Private,Sociology,Baguio,87.95,Female
Flores,Jose,93845,Public,Engineering,Baguio,93.35,Male
Rivera,Rosa,57250,Private,Accountancy,Vigan,92.67,Male
Mendoza,Maria,60111,Public,Economics,Vigan,95.5,Male
Garcia,Juan,53159,Private,Computer Science,Cervantes,86.73,Male
Flores,Elena,98577,Public,Computer Science,Santa,96.87,Male
Lopez,Luisa,41471,Private,Sociology,Cervantes,99.31,Male
Lopez,Jose,97079,Public,Accountancy,Laoag,93.44,Male
Mendoza,Rosa,36433,Private,Computer Science,San Fernando,98.59,Female
Flores,Luisa,48749,Public,Sociology,Tagudin,91.57,Female
Gonzales,Elena,75558,Private,Sociology,Candon,96.99,Female
Flores,Ana,61902,Public,Psychology,Candon,95.54,Female
Gonzales,Maria,83303,Private,Sociology,Batac,91.37,Male
Flores,Juan,69465,Public,Psychology,Santa,95.13,Male
Cruz,Jose,58348,Private,Economics,Tagudin,98.38,Female
Flores,Juan,38202,Public,Literature,Cervantes,91.89,Male
Lopez,Rosa,95494,Private,Accountancy,Vigan,89.67,Female
Garcia,Elena,44246,Public,Accountancy,Candon,97.1,Male
Cruz,Rosa,54426,Private,Finance,Laoag,87.1,Female
Torres,Maria,36400,Public,Sociology,Candon,95.56,Female
Garcia,Pedro,39028,Private,Engineering,Batac,92.1,Male
Lopez,Jose,77271,Public,Economics,Laoag,87.11,Male
Reyes,Pedro,33476,Private,Sociology,Vigan,98.42,Male
Reyes,Pedro,36179,Public,Sociology,Batac,92.84,Female
Mendoza,Miguel,70244,Private,Sociology,Santa,91.58,Male
Reyes,Elena,39378,Public,Computer Science,Batac,90.62,Female
Rivera,Maria,56673,Private,Computer Science,Vigan,96.26,Female
Gonzales,Miguel,92809,Public,Literature,Santa,91.14,Female
Rivera,Rosa,45301,Private,Economics,Santa,99.9,Female
Lopez,Rosa,40497,Public,Psychology,Baguio,99.79,Female
Torres,Juan,74444,Private,Accountancy,Santa,94.41,Female
Reyes,Rosa,47378,Public,Computer Science,Cervantes,85.83,Female
Gonzales,Elena,65439,Private,Economics,Baguio,93.92,Female
Santos,Miguel,56076,Public,Sociology,Vigan,89.34,Male
Garcia,Elena,67139,Private,Literature,Vigan,96.79,Male
Mendoza,Jose,85577,Public,Economics,Candon,88.68,Male
Rivera,Luisa,50373,Private,Sociology,San Fernando,96.63,Female
Reyes,Luisa,76994,Public,Finance,San Fernando,95.5,Female
Santos,Miguel,66310,Private,Computer Science,Santa,95.25,Male
Torres,Ana,53105,Public,Accountancy,San Fernando,99.75,Female
Rivera,Maria,48790,Private,Computer Science,Santa,87.81,Female
Mendoza,Elena,37786,Public,Economics,Santa,94.22,Male
Rivera,Elena,59480,Private,Literature,Batac,88.1,Male
Gonzales,Ana,56191,Public,Economics,Vigan,93.43,Male
Rivera,Ana,37984,Private,History,Tagudin,90.1,Male
Flores,Carlos,69449,Public,Accountancy,Vigan,85.77,Male
Mendoza,Elena,84817,Private,Engineering,Narvacan,86.17,Female
Santos,Maria,76685,Public,Literature,San Fernando,85.55,Male
Reyes,Jose,72296,Private,Engineering,Candon,86.6,Male
Lopez,Rosa,86063,Public,Accountancy,Santa,87.74,Female
Lopez,Miguel,68107,Private,Literature,Vigan,86.81,Female
Flores,Rosa,90281,Public,Engineering,San Fernando,97.58,Female
Santos,Rosa,36424,Private,Literature,Baguio,94.99,Male
Gonzales,Ana,82284,Public,Accountancy,San Fernando,86.99,Female
Rivera,Miguel,97427,Private,Economics,Baguio,91,Male
Santos,Carlos,35347,Public,Computer Science,Vigan,95.96,Female
Cruz,Luisa,80757,Private,Literature,Narvacan,89.72,Female
Flores,Ana,60461,Public,Psychology,Tagudin,98.8,Female
Rivera,Maria,93682,Private,Computer Science,Baguio,95.12,Male
Cruz,Jose,35843,Public,Computer Science,Baguio,88.79,Male
Torres,Juan,94801,Private,Biology,San Fernando,87.18,Male
Santos,Miguel,74762,Public,Accountancy,Vigan,92.42,Female
Torres,Juan,91897,Private,Literature,Baguio,88.75,Male
Mendoza,Jose,92554,Public,Engineering,Narvacan,99.42,Male
Cruz,Juan,78041,Private,Computer Science,San Fernando,95.03,Female
Flores,Elena,87350,Public,Literature,San Fernando,89.15,Male
Reyes,Luisa,54605,Private,Finance,Santa,90.6,Female
Cruz,Carlos,47634,Public,Engineering,Narvacan,96.36,Female
Lopez,Elena,50780,Private,Sociology,Baguio,96.91,Male
Rivera,Juan,84320,Public,Literature,Candon,94.71,Male
Cruz,Rosa,58809,Private,Computer Science,Cervantes,89.23,Male
Mendoza,Pedro,52803,Public,Psychology,Batac,87.52,Male
Lopez,Elena,83237,Private,Economics,Cervantes,86.34,Male
Mendoza,Elena,98362,Public,Computer Science,Batac,89.97,Male
Reyes,Juan,71516,Private,Literature,Candon,92.06,Male
Santos,Luisa,62995,Public,Sociology,Vigan,89.13,Female
Rivera,Carlos,93828,Private,Literature,Narvacan,86.43,Female
Mendoza,Juan,52159,Public,Psychology,Baguio,87.09,Female
Mendoza,Luisa,83764,Private,Economics,San Fernando,89.22,Female
Garcia,Pedro,58506,Public,Literature,Vigan,97.97,Female
Cruz,Elena,99699,Private,Sociology,Narvacan,94.25,Female
Garcia,Elena,73015,Public,History,Candon,96.15,Male
Flores,Luisa,31004,Private,Finance,Laoag,99.44,Female
Garcia,Jose,98012,Public,Engineering,Tagudin,90.81,Female
Flores,Pedro,79025,Private,Finance,San Fernando,90.77,Female
Lopez,Miguel,48569,Public,Sociology,Laoag,92.21,Female
Rivera,Maria,40715,Private,Computer Science,Baguio,87.98,Female
Flores,Ana,95060,Public,Engineering,Narvacan,89.95,Female
Flores,Maria,60014,Private,Accountancy,Laoag,90.14,Female
Reyes,Ana,33077,Public,Accountancy,Laoag,92.94,Female
Cruz,Ana,70810,Private,Literature,Santa,99.51,Male
Reyes,Pedro,41147,Public,Accountancy,Batac,86.18,Female
Mendoza,Ana,45382,Private,Biology,San Fernando,87.41,Male
Lopez,Carlos,99081,Public,Psychology,San Fernando,96.88,Female
Lopez,Maria,89527,Private,Accountancy,Laoag,91.28,Male
Flores,Juan,80296,Public,Biology,San Fernando,97.22,Female
Cruz,Carlos,90273,Private,Psychology,Batac,91.25,Female
Santos,Luisa,31158,Public,History,Tagudin,97.89,Female
Garcia,Rosa,80369,Private,Economics,Candon,92.07,Female
Reyes,Elena,49171,Public,Finance,Laoag,91.43,Female
Torres,Pedro,80831,Private,Engineering,Narvacan,87.97,Male
Flores,Luisa,62842,Public,Biology,Laoag,86.01,Male
Flores,Maria,79418,Private,Sociology,Baguio,92.82,Male
Lopez,Ana,97116,Public,Psychology,Tagudin,98.31,Male
Cruz,Miguel,79864,Private,Economics,Cervantes,94.44,Male
Rivera,Pedro,30356,Public,Literature,Narvacan,98.55,Male
Gonzales,Ana,76455,Private,Finance,Vigan,90.17,Male
Garcia,Rosa,34265,Public,History,Vigan,87.89,Female
Torres,Juan,61697,Private,Biology,Narvacan,86.99,Female
Reyes,Pedro,97218,Public,Sociology,Narvacan,93.64,Male
Reyes,Pedro,52493,Private,Sociology,Batac,93.76,Male
Gonzales,Luisa,68653,Public,Sociology,San Fernando,93.03,Female
Gonzales,Miguel,44883,Private,Biology,Narvacan,91.7,Female
Flores,Rosa,32367,Public,Accountancy,Batac,86.21,Male
Torres,Carlos,94765,Private,Literature,San Fernando,97.75,Female
Cruz,Carlos,86912,Public,Sociology,Vigan,98.33,Female
Lopez,Carlos,55025,Private,Sociology,San Fernando,98.4,Male
Mendoza,Maria,75783,Public,Engineering,Baguio,89.54,Male
Garcia,Juan,50384,Private,Economics,San Fernando,97.72,Female
Reyes,Jose,31437,Public,Psychology,Santa,94.34,Male
Lopez,Elena,45505,Private,Accountancy,Santa,88.79,Male
Lopez,Juan,70672,Public,Engineering,Cervantes,94.99,Female
Torres,Carlos,75513,Private,Psychology,Candon,99.69,Male
Mendoza,Juan,30273,Public,Engineering,Santa,93.84,Female
Reyes,Juan,55347,Private,Finance,Baguio,86.79,Female
Garcia,Jose,48568,Public,Psychology,Santa,90.15,Male
Reyes,Jose,66795,Private,Accountancy,Laoag,86.35,Female
Cruz,Carlos,89783,Public,Computer Science,Laoag,89.9,Male
Garcia,Miguel,89667,Private,Psychology,Batac,97.58,Female
Gonzales,Miguel,41450,Public,Engineering,Cervantes,96.1,Male
Cruz,Ana,72833,Private,Finance,Baguio,90.23,Female
Santos,Carlos,31018,Public,Biology,San Fernando,98.4,Female
Garcia,Juan,84827,Private,Literature,Cervantes,91.71,Male
Flores,Pedro,59422,Public,Sociology,Baguio,97.97,Male
Reyes,Ana,30685,Private,Engineering,Santa,85.24,Male
Cruz,Carlos,85903,Public,Literature,San Fernando,98.77,Female
Flores,Juan,38612,Private,Engineering,Tagudin,95.49,Female
Torres,Miguel,95751,Public,Economics,Tagudin,91.76,Male
Torres,Maria,97300,Private,Literature,Candon,88.6,Male
Torres,Pedro,92713,Public,Sociology,Vigan,97.01,Female
Torres,Luisa,30879,Private,Biology,Baguio,93.28,Male
Santos,Jose,97576,Public,Biology,San Fernando,98.75,Female
Lopez,Ana,86652,Private,Literature,Baguio,89.53,Male
Cruz,Rosa,30309,Public,Engineering,Laoag,87.36,Female
Cruz,Elena,75597,Private,Finance,Candon,87.88,Female
Flores,Luisa,51671,Public,Biology,Batac,86.62,Female
Reyes,Jose,73936,Private,Psychology,Narvacan,89.17,Female
Cruz,Juan,32326,Public,Economics,Vigan,93.77,Female
Reyes,Carlos,36635,Private,History,Tagudin,91.02,Female
Gonzales,Maria,43930,Public,History,Laoag,98.21,Male
Gonzales,Luisa,60366,Private,Computer Science,San Fernando,94.31,Female
Torres,Elena,56249,Public,Sociology,Baguio,99.58,Female
Santos,Miguel,75758,Private,Psychology,Baguio,94.55,Female
Mendoza,Maria,42607,Public,Accountancy,Tagudin,89.25,Female
Rivera,Miguel,46286,Private,History,Laoag,88.89,Female
Rivera,Rosa,54515,Public,Literature,Vigan,85.63,Male
Torres,Ana,71012,Private,Finance,Candon,95.15,Male
Rivera,Miguel,75067,Public,Literature,Tagudin,87,Female
Mendoza,Elena,51373,Private,Accountancy,Cervantes,87.54,Female
Garcia,Elena,84629,Public,Psychology,Batac,97.99,Male
Flores,Elena,66963,Private,Accountancy,Candon,85.15,Male
Lopez,Juan,79161,Public,Literature,Candon,91.97,Male
Garcia,Elena,72967,Private,Finance,Batac,89.43,Female
Reyes,Luisa,84756,Public,Biology,Vigan,93.49,Female
Rivera,Elena,83904,Private,Accountancy,Baguio,87.76,Male
Mendoza,Miguel,31312,Public,Psychology,San Fernando,88.24,Female
Rivera,Luisa,64992,Private,Psychology,San Fernando,99.63,Male
Flores,Juan,68424,Public,Sociology,Vigan,86.74,Female
Reyes,Maria,62008,Private,Sociology,Tagudin,89.36,Female
Cruz,Juan,79090,Public,Literature,Tagudin,92.07,Female
Lopez,Maria,96138,Private,Accountancy,Baguio,88.6,Male
Mendoza,Elena,51750,Public,Computer Science,Tagudin,89.57,Female
Cruz,Elena,59723,Private,Psychology,Vigan,91.99,Female
Torres,Ana,74822,Public,Sociology,Santa,97.74,Male
Rivera,Luisa,76549,Private,Computer Science,Vigan,95.82,Male
Garcia,Ana,90210,Public,Sociology,Batac,88.49,Female
Lopez,Juan,59096,Private,Biology,Vigan,91.44,Male
Lopez,Juan,90603,Public,Sociology,Laoag,92.62,Female
Cruz,Carlos,39812,Private,Literature,Santa,98.89,Female
Garcia,Miguel,90180,Public,Accountancy,Santa,92.33,Female
Gonzales,Rosa,46887,Private,Computer Science,Candon,93.48,Male
Flores,Jose,83633,Public,Economics,Vigan,87.49,Male
Gonzales,Miguel,39677,Private,Accountancy,Santa,88.16,Female
Gonzales,Rosa,67978,Public,Accountancy,Baguio,94.16,Male
Rivera,Ana,59352,Private,Accountancy,Laoag,96.74,Female
Mendoza,Elena,39532,Public,Accountancy,Vigan,94.13,Male
Santos,Elena,42399,Private,Biology,San Fernando,91.43,Female
Gonzales,Maria,74850,Public,Psychology,San Fernando,93.32,Male
Torres,Jose,86469,Private,Engineering,Cervantes,93.1,Female
Gonzales,Jose,33641,Public,Psychology,Tagudin,96.07,Male
Rivera,Jose,56130,Private,Economics,San Fernando,98.98,Male
Gonzales,Juan,60480,Public,History,Santa,97.68,Male
Santos,Carlos,86353,Private,Economics,Tagudin,93.36,Female
Rivera,Juan,87465,Public,Finance,Batac,92.94,Male
Reyes,Ana,46469,Private,Accountancy,Cervantes,97.36,Male
Rivera,Maria,68542,Public,Psychology,Batac,97.9,Female
Lopez,Rosa,35444,Private,Engineering,San Fernando,86.04,Female
Torres,Rosa,76872,Public,Sociology,Tagudin,88.01,Male
Flores,Maria,93181,Private,History,Narvacan,96.98,Male
Flores,Ana,33154,Public,Sociology,Cervantes,92.63,Male
Rivera,Carlos,92458,Private,Finance,Tagudin,94.03,Female
Lopez,Maria,59210,Public,Economics,Cervantes,96.61,Female
Cruz,Miguel,86592,Private,Biology,Baguio,88.09,Female
Garcia,Pedro,66837,Public,Computer Science,Tagudin,86.1,Female
Rivera,Pedro,84257,Private,Psychology,San Fernando,87.26,Male
Flores,Jose,53050,Public,Engineering,Narvacan,89.15,Female
Mendoza,Maria,42658,Private,Literature,Santa,95.39,Male
Lopez,Carlos,38863,Public,Psychology,Laoag,97,Female
Flores,Ana,91398,Private,Sociology,Laoag,86.72,Male
Lopez,Pedro,34447,Public,Accountancy,Vigan,89.75,Female
Torres,Elena,94110,Private,History,Tagudin,95.23,Male
Torres,Juan,76525,Public,Economics,Baguio,88.27,Female
Torres,Maria,30862,Private,Biology,Baguio,88.42,Male
Mendoza,Miguel,33791,Public,History,San Fernando,98.35,Male
Flores,Carlos,32281,Private,Literature,Batac,91.05,Male
Mendoza,Ana,47528,Public,Biology,Vigan,85.6,Male
Flores,Jose,41387,Private,Sociology,Batac,88.12,Female
