ID,Lastname,Firstname,FamilyIncome,TypeofSeniorHighSchool,ProgramEnrolled,MunicipalityOfOrigin,Grade12GWA,Sex
410,Reyes,Juan,89140,Private,Economics,Santa,98.89,Male
411,Rivera,Elena,51633,Public,Engineering,Cervantes,88.32,Male
412,Santos,Rosa,61885,Private,Biology,San Fernando,94.02,Male
413,Garcia,Miguel,50482,Public,Biology,Batac,94.28,Female
414,Rivera,Ana,67396,Private,Psychology,Narvacan,92.51,Male
415,Garcia,Jose,31721,Public,Psychology,Baguio,93.2,Female
416,Gonzales,Luisa,50936,Private,Accountancy,San Fernando,98.85,Female
417,Santos,Rosa,44768,Public,Biology,Baguio,85.01,Female
418,Flores,Ana,81551,Private,Biology,Santa,96.02,Female
419,Mendoza,Juan,32286,Public,Engineering,Candon,90.15,Female
420,Lopez,Juan,55476,Private,Economics,Batac,98.98,Female
421,Torres,Rosa,89524,Public,Psychology,Laoag,91.42,Female
422,Rivera,Elena,37099,Private,Economics,San Fernando,99.11,Female
423,Reyes,Elena,39156,Public,Finance,Baguio,90.65,Male
424,Cruz,Ana,31984,Private,Sociology,Laoag,86.74,Female
425,Cruz,Luisa,41025,Public,Accountancy,Santa,98.21,Male
426,Reyes,Jose,50685,Private,Finance,San Fernando,99.19,Male
427,Cruz,Juan,63704,Public,Biology,Cervantes,96.1,Male
428,Garcia,Ana,67129,Private,Engineering,Cervantes,97.35,Male
429,Mendoza,Luisa,64207,Public,Economics,San Fernando,98.88,Male
430,Cruz,Juan,65257,Private,Economics,Cervantes,99.29,Female
431,Cruz,Pedro,88398,Public,Engineering,San Fernando,91.42,Male
432,Reyes,Maria,64980,Private,Computer Science,Narvacan,95.44,Female
433,Reyes,Maria,43520,Public,Accountancy,Cervantes,85.86,Male
434,Reyes,Pedro,42948,Private,Psychology,Santa,96.91,Female
435,Mendoza,Luisa,76945,Public,History,Tagudin,92.68,Male
436,Garcia,Elena,37203,Private,Economics,Tagudin,99.85,Female
437,Gonzales,Jose,64652,Public,Psychology,Batac,85.15,Female
438,Torres,Pedro,85706,Private,Biology,Vigan,90.02,Female
439,Mendoza,Luisa,85269,Public,Economics,Vigan,99.66,Female
440,Torres,Luisa,91082,Private,Finance,San Fernando,85.41,Male
441,Garcia,Carlos,88449,Public,Sociology,Batac,95.69,Female
442,Torres,Ana,53282,Private,Economics,Narvacan,86.8,Female
443,Mendoza,Rosa,44217,Public,Computer Science,Cervantes,94.12,Male
444,Reyes,Luisa,49336,Private,Finance,Santa,99.57,Female
445,Santos,Pedro,82685,Public,Biology,Candon,98.26,Female
446,Mendoza,Luisa,81974,Private,Accountancy,Baguio,86.32,Male
447,Cruz,Pedro,66502,Public,Biology,Tagudin,93.5,Male
448,Lopez,Luisa,37902,Private,Biology,Tagudin,95.18,Male
449,Garcia,Pedro,53313,Public,Finance,Laoag,90.9,Male
450,Torres,Rosa,75305,Private,Finance,Vigan,96.89,Male
451,Mendoza,Luisa,53447,Public,Accountancy,Vigan,95.37,Female
452,Lopez,Jose,61608,Private,Economics,Narvacan,97.09,Male
453,Flores,Ana,34109,Public,Computer Science,Tagudin,89.01,Female
454,Cruz,Ana,81818,Private,Psychology,Laoag,95.11,Female
455,Gonzales,Miguel,31073,Public,Psychology,San Fernando,94.8,Male
456,Torres,Elena,77066,Private,Engineering,Batac,85.43,Male
457,Lopez,Luisa,64295,Public,Economics,Tagudin,87.15,Female
458,Gonzales,Pedro,64662,Private,Sociology,Vigan,92.43,Male
459,Cruz,Rosa,85429,Public,History,Santa,85.37,Female
460,Lopez,Maria,54083,Private,Engineering,Baguio,87.14,Male
461,Mendoza,Jose,60648,Public,Biology,Candon,87.9,Male
462,Cruz,Elena,97279,Private,History,Batac,96.45,Female
463,Reyes,Juan,62766,Public,Finance,Candon,89.51,Female
464,Cruz,Rosa,81696,Private,Psychology,Santa,92.71,Female
465,Flores,Elena,75374,Public,Psychology,Tagudin,91.55,Female
466,Santos,Miguel,37667,Private,Accountancy,Santa,98.31,Female
467,Mendoza,Maria,40384,Public,Literature,Narvacan,89.88,Female
468,Flores,Pedro,78911,Private,Economics,Cervantes,90.63,Female
469,Garcia,Maria,80505,Public,Psychology,Baguio,97.53,Female
470,Lopez,Maria,30306,Private,Psychology,Candon,91.96,Male
471,Lopez,Jose,33293,Public,Literature,Laoag,92.67,Female
472,Lopez,Elena,66887,Private,Psychology,Candon,89.84,Male
473,Lopez,Rosa,66386,Public,Sociology,Vigan,99.68,Female
474,Santos,Elena,50907,Private,Finance,Baguio,98.68,Male
475,Santos,Juan,44988,Public,History,Narvacan,89.56,Female
476,Lopez,Carlos,47830,Private,Literature,San Fernando,96.01,Male
477,Torres,Carlos,53000,Public,Sociology,Narvacan,91.01,Female
478,Mendoza,Luisa,99381,Private,History,Narvacan,87.34,Male
479,Lopez,Pedro,33469,Public,Psychology,Baguio,96.14,Male
480,Reyes,Pedro,61002,Private,Literature,Tagudin,88.49,Male
481,Reyes,Carlos,65875,Public,Psychology,San Fernando,86.91,Female
482,Torres,Luisa,33439,Private,History,Tagudin,96.21,Female
483,Flores,Rosa,36945,Public,History,Tagudin,85.72,Male
484,Flores,Jose,92576,Private,Biology,Tagudin,99.28,Female
485,Garcia,Pedro,64906,Public,Economics,Narvacan,92.39,Male
486,Rivera,Rosa,42627,Private,Biology,Cervantes,87.89,Female
487,Cruz,Pedro,79909,Public,Psychology,Narvacan,97.92,Male
488,Mendoza,Luisa,59914,Private,Literature,San Fernando,96,Female
489,Gonzales,Luisa,42460,Public,Computer Science,Batac,97.34,Male
490,Rivera,Carlos,44930,Private,Computer Science,Cervantes,96.39,Male
491,Rivera,Luisa,98542,Public,Psychology,Batac,97.81,Female
492,Reyes,Luisa,98926,Private,Literature,Baguio,92.25,Male
493,Cruz,Elena,34115,Public,Computer Science,Cervantes,95.93,Female
494,Santos,Maria,91353,Private,Accountancy,Santa,85.46,Female
495,Torres,Maria,61443,Public,Finance,Candon,85.29,Female
496,Mendoza,Maria,98891,Private,Computer Science,Baguio,89.74,Female
497,Santos,Rosa,76839,Public,Sociology,Tagudin,85.15,Female
498,Garcia,Jose,59259,Private,Biology,Batac,95.97,Female
499,Reyes,Luisa,44380,Public,Engineering,Candon,90.93,Female
500,Garcia,Jose,52070,Private,History,Santa,88.11,Female
501,Reyes,Jose,82322,Public,Finance,Tagudin,94.2,Female
502,Mendoza,Juan,62927,Private,Economics,Santa,95.95,Female
503,Reyes,Juan,55462,Public,Biology,Candon,86.37,Male
504,Torres,Maria,54758,Private,History,Cervantes,99.11,Female
505,Rivera,Carlos,60846,Public,Psychology,Tagudin,86.36,Female
506,Lopez,Jose,88093,Private,History,Cervantes,88.11,Female
507,Cruz,Luisa,38456,Public,Accountancy,Vigan,92.21,Female
508,Torres,Carlos,48888,Private,Biology,San Fernando,99.69,Female
509,Rivera,Rosa,84887,Public,History,Santa,95.17,Male
510,Santos,Pedro,87949,Private,Engineering,Narvacan,86.87,Female
511,Rivera,Maria,88738,Public,Economics,Batac,91.9,Male
512,Flores,Juan,87193,Private,Engineering,Baguio,86.97,Male
513,Rivera,Jose,88678,Public,Literature,Vigan,89.77,Male
514,Gonzales,Ana,62256,Private,Psychology,Laoag,86.35,Male
515,Santos,Luisa,48242,Public,Sociology,Laoag,90.08,Male
516,Lopez,Juan,86765,Private,Biology,Candon,98.34,Female
517,Lopez,Miguel,46302,Public,Economics,Narvacan,85.12,Male
518,Lopez,Pedro,93357,Private,Finance,Batac,99.5,Male
519,Santos,Ana,55522,Public,Sociology,Batac,92.97,Female
520,Garcia,Miguel,32159,Private,Computer Science,Batac,86.93,Female
521,Garcia,Ana,85928,Public,Biology,Laoag,96.85,Male
522,Mendoza,Rosa,89151,Private,Economics,San Fernando,98.44,Female
523,Rivera,Maria,34652,Public,Economics,Santa,98.79,Female
524,Torres,Carlos,75388,Private,Sociology,Batac,85.66,Male
525,Reyes,Jose,48559,Public,Finance,San Fernando,94.2,Male
526,Flores,Juan,40446,Private,Sociology,Batac,85.44,Male
527,Flores,Juan,31932,Public,Sociology,Batac,91.96,Male
528,Reyes,Juan,70165,Private,Biology,Tagudin,96.97,Male
529,Lopez,Miguel,42985,Public,History,Narvacan,98.21,Female
530,Reyes,Jose,97353,Private,Biology,Laoag,91.51,Male
531,Cruz,Elena,74297,Public,Accountancy,Laoag,92.21,Male
532,Cruz,Carlos,77040,Private,Literature,Laoag,85.39,Male
533,Flores,Maria,75154,Public,History,Narvacan,95.42,Male
534,Garcia,Jose,60148,Private,Economics,Vigan,99.68,Male
535,Mendoza,Maria,63153,Public,Accountancy,Batac,98.84,Male
536,Rivera,Pedro,49815,Private,History,Tagudin,93.92,Female
537,Rivera,Carlos,66473,Public,Computer Science,Laoag,86.57,Female
538,Rivera,Carlos,91127,Private,History,Vigan,93.72,Female
539,Gonzales,Elena,52341,Public,Literature,Narvacan,93.16,Female
540,Santos,Elena,72556,Private,Psychology,Santa,89.54,Female
541,Gonzales,Pedro,81808,Public,Computer Science,San Fernando,93.6,Male
542,Cruz,Ana,61826,Private,Engineering,Laoag,87.42,Male
543,Garcia,Maria,91120,Public,Accountancy,Santa,92.54,Female
544,Garcia,Pedro,41674,Private,Sociology,Vigan,91.2,Male
545,Torres,Rosa,67471,Public,Economics,Santa,85.57,Female
546,Cruz,Jose,76335,Private,Psychology,San Fernando,96.14,Male
547,Flores,Luisa,78720,Public,Psychology,Laoag,87.54,Male
548,Rivera,Rosa,45559,Private,Finance,Santa,86.06,Female
549,Rivera,Miguel,49430,Public,Literature,Cervantes,94.75,Female
550,Flores,Carlos,33309,Private,Psychology,Candon,87.79,Male
551,Lopez,Carlos,37362,Public,Engineering,Batac,99.85,Female
552,Rivera,Maria,43010,Private,History,San Fernando,93.42,Male
553,Cruz,Ana,65661,Public,Sociology,Narvacan,91.91,Female
554,Torres,Maria,58589,Private,History,Candon,90.49,Male
555,Torres,Elena,72238,Public,Accountancy,Narvacan,88.1,Male
556,Rivera,Miguel,79839,Private,Psychology,Vigan,89.85,Male
557,Lopez,Maria,47808,Public,Accountancy,Tagudin,89.04,Female
558,Garcia,Carlos,97302,Private,Engineering,Narvacan,87.58,Female
559,Santos,Ana,33676,Public,Computer Science,Baguio,93.61,Female
560,Mendoza,Miguel,90101,Private,Engineering,Santa,95.95,Male
561,Rivera,Ana,33573,Public,Computer Science,San Fernando,92.3,Male
562,Lopez,Ana,41847,Private,Finance,Laoag,96.88,Male
563,Garcia,Pedro,48311,Public,Psychology,Laoag,97.78,Male
564,Torres,Elena,50669,Private,Literature,Batac,97.89,Female
565,Rivera,Pedro,55865,Public,Accountancy,Candon,95.73,Male
566,Garcia,Jose,83635,Private,Biology,Laoag,90.74,Male
567,Cruz,Jose,60302,Public,Psychology,Candon,95.41,Female
568,Lopez,Luisa,42209,Private,Computer Science,Candon,93.55,Male
569,Garcia,Carlos,95909,Public,Psychology,Vigan,88.09,Female
570,Gonzales,Pedro,93470,Private,Sociology,Candon,96.8,Male
571,Lopez,Luisa,67732,Public,Psychology,San Fernando,94.8,Male
572,Cruz,Ana,98474,Private,Literature,Santa,86.15,Male
573,Torres,Maria,39662,Public,Computer Science,Baguio,89.14,Female
574,Rivera,Jose,52324,Private,Finance,Narvacan,92.07,Male
575,Mendoza,Luisa,37931,Public,Finance,Baguio,93.36,Male
576,Lopez,Miguel,93242,Private,Accountancy,Batac,98.5,Female
577,Rivera,Elena,31516,Public,Psychology,Candon,88.49,Female
578,Santos,Jose,73926,Private,Sociology,Narvacan,90.83,Female
579,Reyes,Miguel,97399,Public,Finance,Vigan,96.97,Male
580,Flores,Miguel,88988,Private,Psychology,Laoag,98.55,Female
581,Gonzales,Luisa,72516,Public,History,Santa,97.6,Female
582,Santos,Juan,49278,Private,Engineering,Santa,88.92,Male
583,Mendoza,Carlos,62648,Public,Accountancy,Baguio,94.51,Female
584,Mendoza,Luisa,61089,Private,Accountancy,Batac,90.29,Female
585,Gonzales,Elena,66359,Public,Economics,Cervantes,93.11,Male
586,Cruz,Carlos,61357,Private,Economics,Narvacan,90.4,Male
587,Rivera,Rosa,51074,Public,History,Tagudin,93,Female
588,Cruz,Rosa,31279,Private,Finance,Cervantes,90.41,Female
589,Reyes,Pedro,54873,Public,Sociology,Baguio,98,Male
590,Rivera,Jose,67054,Private,Biology,Cervantes,96.35,Male
591,Santos,Miguel,65424,Public,Engineering,Vigan,95.8,Male
592,Reyes,Maria,98527,Private,Sociology,Narvacan,94.91,Male
593,Garcia,Elena,74841,Public,Biology,Santa,96.58,Female
594,Santos,Pedro,99334,Private,Biology,Batac,89.1,Male
595,Garcia,Pedro,49707,Public,History,Cervantes,90.85,Male
596,Torres,Maria,83649,Private,Psychology,Baguio,99.33,Female
597,Garcia,Juan,72233,Public,Psychology,Tagudin,98.71,Male
598,Mendoza,Miguel,40118,Private,Engineering,Laoag,97.55,Male
599,Reyes,Juan,83136,Public,Accountancy,Cervantes,86.75,Female
600,Reyes,Juan,53100,Private,History,Narvacan,89.33,Male
601,Rivera,Jose,37918,Public,Psychology,Candon,89.8,Female
602,Santos,Miguel,83520,Private,Engineering,Laoag,93.7,Female
603,Lopez,Juan,49012,Public,Psychology,Baguio,96.15,Male
604,Garcia,Miguel,74284,Private,Computer Science,Laoag,96.82,Male
605,Santos,Jose,98046,Public,History,Laoag,87,Male
606,Mendoza,Maria,75653,Private,History,Candon,95.36,Female
607,Torres,Luisa,33646,Public,Accountancy,Narvacan,87.91,Female
608,Garcia,Elena,71197,Private,Economics,Laoag,85.35,Male
609,Lopez,Jose,92206,Public,History,San Fernando,92.44,Male
610,Cruz,Rosa,98257,Private,Computer Science,Laoag,93.56,Male
611,Flores,Miguel,85737,Public,Economics,Narvacan,85.2,Male
612,Gonzales,Carlos,93277,Private,Accountancy,Santa,92.47,Female
613,Garcia,Rosa,70507,Public,Engineering,Batac,95.14,Female
614,Reyes,Jose,34909,Private,History,Laoag,87.54,Male
615,Gonzales,Rosa,74209,Public,History,San Fernando,93.2,Male
616,Cruz,Miguel,69017,Private,Sociology,Narvacan,96.42,Male
617,Rivera,Luisa,68071,Public,Sociology,Cervantes,99.62,Female
618,Santos,Elena,56206,Private,Computer Science,Candon,86.91,Male
619,Mendoza,Juan,64664,Public,Sociology,Vigan,98.06,Female
620,Reyes,Pedro,78373,Private,Engineering,Laoag,97.98,Male
621,Flores,Carlos,68590,Public,History,Batac,98.4,Female
622,Torres,Rosa,60999,Private,Economics,Tagudin,86.57,Male
623,Reyes,Maria,68246,Public,Accountancy,Santa,87.13,Female
624,Rivera,Carlos,65507,Private,Biology,Tagudin,90,Male
625,Torres,Ana,72587,Public,Economics,Laoag,97.04,Female
626,Torres,Rosa,81652,Private,Accountancy,Cervantes,88.3,Female
627,Reyes,Juan,51953,Public,Accountancy,Cervantes,85.78,Female
628,Reyes,Miguel,42108,Private,Engineering,Tagudin,98.21,Female
629,Reyes,Ana,81414,Public,Engineering,Cervantes,96.2,Female
630,Lopez,Carlos,31392,Private,Finance,Candon,86.2,Female
631,Garcia,Carlos,96443,Public,Economics,Santa,94.2,Female
632,Santos,Rosa,32248,Private,Engineering,San Fernando,98.26,Male
633,Lopez,Carlos,53388,Public,Finance,Baguio,99.52,Female
634,Cruz,Juan,32849,Private,Psychology,Cervantes,99.29,Male
635,Santos,Miguel,66530,Public,History,Santa,99.46,Female
636,Santos,Rosa,57218,Private,Engineering,Narvacan,98.26,Male
637,Torres,Miguel,97034,Public,History,Tagudin,86.63,Female
638,Santos,Maria,78369,Private,Accountancy,Narvacan,90.88,Female
639,Mendoza,Elena,43644,Public,Literature,Candon,92.48,Female
640,Gonzales,Ana,85916,Private,Biology,Baguio,85.27,Female
641,Rivera,Ana,68729,Public,Finance,Baguio,85.83,Female
642,Cruz,Carlos,60280,Private,Biology,Baguio,97.27,Male
643,Gonzales,Jose,56442,Public,Computer Science,Laoag,98.87,Female
644,Torres,Jose,95336,Private,Computer Science,Santa,88.99,Male
645,Lopez,Luisa,81615,Public,Engineering,San Fernando,96.33,Male
646,Reyes,Juan,39008,Private,Engineering,Batac,90.68,Male
647,Mendoza,Ana,98888,Public,History,Candon,92.83,Male
648,Garcia,Jose,75365,Private,Engineering,Santa,89.89,Female
649,Rivera,Ana,57018,Public,Engineering,Candon,89.44,Female
650,Reyes,Jose,95078,Private,Engineering,San Fernando,94.66,Male
651,Garcia,Carlos,52643,Public,Economics,Narvacan,93.93,Male
652,Torres,Ana,50659,Private,Accountancy,San Fernando,91.08,Female
653,Flores,Pedro,99334,Public,History,Laoag,98.29,Female
654,Garcia,Rosa,61299,Private,Sociology,Baguio,87.95,Female
655,Flores,Jose,93845,Public,Engineering,Baguio,93.35,Male
656,Rivera,Rosa,57250,Private,Accountancy,Vigan,92.67,Male
657,Mendoza,Maria,60111,Public,Economics,Vigan,95.5,Male
658,Garcia,Juan,53159,Private,Computer Science,Cervantes,86.73,Male
659,Flores,Elena,98577,Public,Computer Science,Santa,96.87,Male
660,Lopez,Luisa,41471,Private,Sociology,Cervantes,99.31,Male
661,Lopez,Jose,97079,Public,Accountancy,Laoag,93.44,Male
662,Mendoza,Rosa,36433,Private,Computer Science,San Fernando,98.59,Female
663,Flores,Luisa,48749,Public,Sociology,Tagudin,91.57,Female
664,Gonzales,Elena,75558,Private,Sociology,Candon,96.99,Female
665,Flores,Ana,61902,Public,Psychology,Candon,95.54,Female
666,Gonzales,Maria,83303,Private,Sociology,Batac,91.37,Male
667,Flores,Juan,69465,Public,Psychology,Santa,95.13,Male
668,Cruz,Jose,58348,Private,Economics,Tagudin,98.38,Female
669,Flores,Juan,38202,Public,Literature,Cervantes,91.89,Male
670,Lopez,Rosa,95494,Private,Accountancy,Vigan,89.67,Female
671,Garcia,Elena,44246,Public,Accountancy,Candon,97.1,Male
672,Cruz,Rosa,54426,Private,Finance,Laoag,87.1,Female
673,Torres,Maria,36400,Public,Sociology,Candon,95.56,Female
674,Garcia,Pedro,39028,Private,Engineering,Batac,92.1,Male
675,Lopez,Jose,77271,Public,Economics,Laoag,87.11,Male
676,Reyes,Pedro,33476,Private,Sociology,Vigan,98.42,Male
677,Reyes,Pedro,36179,Public,Sociology,Batac,92.84,Female
678,Mendoza,Miguel,70244,Private,Sociology,Santa,91.58,Male
679,Reyes,Elena,39378,Public,Computer Science,Batac,90.62,Female
680,Rivera,Maria,56673,Private,Computer Science,Vigan,96.26,Female
681,Gonzales,Miguel,92809,Public,Literature,Santa,91.14,Female
682,Rivera,Rosa,45301,Private,Economics,Santa,99.9,Female
683,Lopez,Rosa,40497,Public,Psychology,Baguio,99.79,Female
684,Torres,Juan,74444,Private,Accountancy,Santa,94.41,Female
685,Reyes,Rosa,47378,Public,Computer Science,Cervantes,85.83,Female
686,Gonzales,Elena,65439,Private,Economics,Baguio,93.92,Female
687,Santos,Miguel,56076,Public,Sociology,Vigan,89.34,Male
688,Garcia,Elena,67139,Private,Literature,Vigan,96.79,Male
689,Mendoza,Jose,85577,Public,Economics,Candon,88.68,Male
690,Rivera,Luisa,50373,Private,Sociology,San Fernando,96.63,Female
691,Reyes,Luisa,76994,Public,Finance,San Fernando,95.5,Female
692,Santos,Miguel,66310,Private,Computer Science,Santa,95.25,Male
693,Torres,Ana,53105,Public,Accountancy,San Fernando,99.75,Female
694,Rivera,Maria,48790,Private,Computer Science,Santa,87.81,Female
695,Mendoza,Elena,37786,Public,Economics,Santa,94.22,Male
696,Rivera,Elena,59480,Private,Literature,Batac,88.1,Male
697,Gonzales,Ana,56191,Public,Economics,Vigan,93.43,Male
698,Rivera,Ana,37984,Private,History,Tagudin,90.1,Male
699,Flores,Carlos,69449,Public,Accountancy,Vigan,85.77,Male
700,Mendoza,Elena,84817,Private,Engineering,Narvacan,86.17,Female
701,Santos,Maria,76685,Public,Literature,San Fernando,85.55,Male
702,Reyes,Jose,72296,Private,Engineering,Candon,86.6,Male
703,Lopez,Rosa,86063,Public,Accountancy,Santa,87.74,Female
704,Lopez,Miguel,68107,Private,Literature,Vigan,86.81,Female
705,Flores,Rosa,90281,Public,Engineering,San Fernando,97.58,Female
706,Santos,Rosa,36424,Private,Literature,Baguio,94.99,Male
707,Gonzales,Ana,82284,Public,Accountancy,San Fernando,86.99,Female
708,Rivera,Miguel,97427,Private,Economics,Baguio,91,Male
709,Santos,Carlos,35347,Public,Computer Science,Vigan,95.96,Female
710,Cruz,Luisa,80757,Private,Literature,Narvacan,89.72,Female
711,Flores,Ana,60461,Public,Psychology,Tagudin,98.8,Female
712,Rivera,Maria,93682,Private,Computer Science,Baguio,95.12,Male
713,Cruz,Jose,35843,Public,Computer Science,Baguio,88.79,Male
714,Torres,Juan,94801,Private,Biology,San Fernando,87.18,Male
715,Santos,Miguel,74762,Public,Accountancy,Vigan,92.42,Female
716,Torres,Juan,91897,Private,Literature,Baguio,88.75,Male
717,Mendoza,Jose,92554,Public,Engineering,Narvacan,99.42,Male
718,Cruz,Juan,78041,Private,Computer Science,San Fernando,95.03,Female
719,Flores,Elena,87350,Public,Literature,San Fernando,89.15,Male
720,Reyes,Luisa,54605,Private,Finance,Santa,90.6,Female
721,Cruz,Carlos,47634,Public,Engineering,Narvacan,96.36,Female
722,Lopez,Elena,50780,Private,Sociology,Baguio,96.91,Male
723,Rivera,Juan,84320,Public,Literature,Candon,94.71,Male
724,Cruz,Rosa,58809,Private,Computer Science,Cervantes,89.23,Male
725,Mendoza,Pedro,52803,Public,Psychology,Batac,87.52,Male
726,Lopez,Elena,83237,Private,Economics,Cervantes,86.34,Male
727,Mendoza,Elena,98362,Public,Computer Science,Batac,89.97,Male
728,Reyes,Juan,71516,Private,Literature,Candon,92.06,Male
729,Santos,Luisa,62995,Public,Sociology,Vigan,89.13,Female
730,Rivera,Carlos,93828,Private,Literature,Narvacan,86.43,Female
731,Mendoza,Juan,52159,Public,Psychology,Baguio,87.09,Female
732,Mendoza,Luisa,83764,Private,Economics,San Fernando,89.22,Female
733,Garcia,Pedro,58506,Public,Literature,Vigan,97.97,Female
734,Cruz,Elena,99699,Private,Sociology,Narvacan,94.25,Female
735,Garcia,Elena,73015,Public,History,Candon,96.15,Male
736,Flores,Luisa,31004,Private,Finance,Laoag,99.44,Female
737,Garcia,Jose,98012,Public,Engineering,Tagudin,90.81,Female
738,Flores,Pedro,79025,Private,Finance,San Fernando,90.77,Female
739,Lopez,Miguel,48569,Public,Sociology,Laoag,92.21,Female
740,Rivera,Maria,40715,Private,Computer Science,Baguio,87.98,Female
741,Flores,Ana,95060,Public,Engineering,Narvacan,89.95,Female
742,Flores,Maria,60014,Private,Accountancy,Laoag,90.14,Female
743,Reyes,Ana,33077,Public,Accountancy,Laoag,92.94,Female
744,Cruz,Ana,70810,Private,Literature,Santa,99.51,Male
745,Reyes,Pedro,41147,Public,Accountancy,Batac,86.18,Female
746,Mendoza,Ana,45382,Private,Biology,San Fernando,87.41,Male
747,Lopez,Carlos,99081,Public,Psychology,San Fernando,96.88,Female
748,Lopez,Maria,89527,Private,Accountancy,Laoag,91.28,Male
749,Flores,Juan,80296,Public,Biology,San Fernando,97.22,Female
750,Cruz,Carlos,90273,Private,Psychology,Batac,91.25,Female
751,Santos,Luisa,31158,Public,History,Tagudin,97.89,Female
752,Garcia,Rosa,80369,Private,Economics,Candon,92.07,Female
753,Reyes,Elena,49171,Public,Finance,Laoag,91.43,Female
754,Torres,Pedro,80831,Private,Engineering,Narvacan,87.97,Male
755,Flores,Luisa,62842,Public,Biology,Laoag,86.01,Male
756,Flores,Maria,79418,Private,Sociology,Baguio,92.82,Male
757,Lopez,Ana,97116,Public,Psychology,Tagudin,98.31,Male
758,Cruz,Miguel,79864,Private,Economics,Cervantes,94.44,Male
759,Rivera,Pedro,30356,Public,Literature,Narvacan,98.55,Male
760,Gonzales,Ana,76455,Private,Finance,Vigan,90.17,Male
761,Garcia,Rosa,34265,Public,History,Vigan,87.89,Female
762,Torres,Juan,61697,Private,Biology,Narvacan,86.99,Female
763,Reyes,Pedro,97218,Public,Sociology,Narvacan,93.64,Male
764,Reyes,Pedro,52493,Private,Sociology,Batac,93.76,Male
765,Gonzales,Luisa,68653,Public,Sociology,San Fernando,93.03,Female
766,Gonzales,Miguel,44883,Private,Biology,Narvacan,91.7,Female
767,Flores,Rosa,32367,Public,Accountancy,Batac,86.21,Male
768,Torres,Carlos,94765,Private,Literature,San Fernando,97.75,Female
769,Cruz,Carlos,86912,Public,Sociology,Vigan,98.33,Female
770,Lopez,Carlos,55025,Private,Sociology,San Fernando,98.4,Male
771,Mendoza,Maria,75783,Public,Engineering,Baguio,89.54,Male
772,Garcia,Juan,50384,Private,Economics,San Fernando,97.72,Female
773,Reyes,Jose,31437,Public,Psychology,Santa,94.34,Male
774,Lopez,Elena,45505,Private,Accountancy,Santa,88.79,Male
775,Lopez,Juan,70672,Public,Engineering,Cervantes,94.99,Female
776,Torres,Carlos,75513,Private,Psychology,Candon,99.69,Male
777,Mendoza,Juan,30273,Public,Engineering,Santa,93.84,Female
778,Reyes,Juan,55347,Private,Finance,Baguio,86.79,Female
779,Garcia,Jose,48568,Public,Psychology,Santa,90.15,Male
780,Reyes,Jose,66795,Private,Accountancy,Laoag,86.35,Female
781,Cruz,Carlos,89783,Public,Computer Science,Laoag,89.9,Male
782,Garcia,Miguel,89667,Private,Psychology,Batac,97.58,Female
783,Gonzales,Miguel,41450,Public,Engineering,Cervantes,96.1,Male
784,Cruz,Ana,72833,Private,Finance,Baguio,90.23,Female
785,Santos,Carlos,31018,Public,Biology,San Fernando,98.4,Female
786,Garcia,Juan,84827,Private,Literature,Cervantes,91.71,Male
787,Flores,Pedro,59422,Public,Sociology,Baguio,97.97,Male
788,Reyes,Ana,30685,Private,Engineering,Santa,85.24,Male
789,Cruz,Carlos,85903,Public,Literature,San Fernando,98.77,Female
790,Flores,Juan,38612,Private,Engineering,Tagudin,95.49,Female
791,Torres,Miguel,95751,Public,Economics,Tagudin,91.76,Male
792,Torres,Maria,97300,Private,Literature,Candon,88.6,Male
793,Torres,Pedro,92713,Public,Sociology,Vigan,97.01,Female
794,Torres,Luisa,30879,Private,Biology,Baguio,93.28,Male
795,Santos,Jose,97576,Public,Biology,San Fernando,98.75,Female
796,Lopez,Ana,86652,Private,Literature,Baguio,89.53,Male
797,Cruz,Rosa,30309,Public,Engineering,Laoag,87.36,Female
798,Cruz,Elena,75597,Private,Finance,Candon,87.88,Female
799,Flores,Luisa,51671,Public,Biology,Batac,86.62,Female
800,Reyes,Jose,73936,Private,Psychology,Narvacan,89.17,Female
801,Cruz,Juan,32326,Public,Economics,Vigan,93.77,Female
802,Reyes,Carlos,36635,Private,History,Tagudin,91.02,Female
803,Gonzales,Maria,43930,Public,History,Laoag,98.21,Male
804,Gonzales,Luisa,60366,Private,Computer Science,San Fernando,94.31,Female
805,Torres,Elena,56249,Public,Sociology,Baguio,99.58,Female
806,Santos,Miguel,75758,Private,Psychology,Baguio,94.55,Female
807,Mendoza,Maria,42607,Public,Accountancy,Tagudin,89.25,Female
808,Rivera,Miguel,46286,Private,History,Laoag,88.89,Female
809,Rivera,Rosa,54515,Public,Literature,Vigan,85.63,Male
810,Torres,Ana,71012,Private,Finance,Candon,95.15,Male
811,Rivera,Miguel,75067,Public,Literature,Tagudin,87,Female
812,Mendoza,Elena,51373,Private,Accountancy,Cervantes,87.54,Female
813,Garcia,Elena,84629,Public,Psychology,Batac,97.99,Male
814,Flores,Elena,66963,Private,Accountancy,Candon,85.15,Male
815,Lopez,Juan,79161,Public,Literature,Candon,91.97,Male
816,Garcia,Elena,72967,Private,Finance,Batac,89.43,Female
817,Reyes,Luisa,84756,Public,Biology,Vigan,93.49,Female
818,Rivera,Elena,83904,Private,Accountancy,Baguio,87.76,Male
